v(V),z(Ohms),phi(º),cs(Farads)
0.000,4.56996e+04,-9.51630e+01,3.49682e-11
4.000,5.37497e+04,-9.56587e+01,2.97554e-11
8.000,6.41508e+04,-9.21122e+01,2.48264e-11
12.000,7.30219e+04,-9.26159e+01,2.18182e-11
16.000,8.18520e+04,-9.31221e+01,1.94732e-11
20.000,9.10632e+04,-9.36475e+01,1.75129e-11
24.000,1.01246e+05,-9.41967e+01,1.57619e-11
28.000,1.12982e+05,-9.48669e+01,1.41377e-11
32.000,1.27939e+05,-9.56709e+01,1.25011e-11
36.000,1.49809e+05,-9.68796e+01,1.07009e-11
40.000,1.89531e+05,-9.90030e+01,8.50206e-12
44.000,2.86673e+05,-1.03893e+02,5.71912e-12
48.000,6.11398e+05,-1.17799e+02,2.94277e-12
52.000,8.89435e+05,-1.28233e+02,2.27806e-12
56.000,9.65470e+05,-1.30797e+02,2.17757e-12
60.000,1.07083e+06,-1.34024e+02,2.06702e-12
64.000,1.25270e+06,-1.39295e+02,1.94814e-12
68.000,1.75939e+06,-1.49615e+02,1.78847e-12
72.000,2.26547e+06,-1.57867e+02,1.86481e-12
76.000,2.32109e+06,-1.58602e+02,1.87941e-12
80.000,2.35776e+06,-1.59359e+02,1.91500e-12
84.000,2.40253e+06,-1.59888e+02,1.92679e-12
88.000,2.43499e+06,-1.60657e+02,1.97343e-12
92.000,2.47185e+06,-1.61226e+02,2.00078e-12
96.000,2.53224e+06,-1.62325e+02,2.07047e-12
100.000,2.58351e+06,-1.63199e+02,2.13185e-12
104.000,2.64141e+06,-1.64285e+02,2.22503e-12
108.000,2.70852e+06,-1.65782e+02,2.39276e-12
112.000,2.77923e+06,-1.67390e+02,2.62315e-12
116.000,2.89568e+06,-1.69411e+02,2.99206e-12
120.000,2.99768e+06,-1.72031e+02,3.83548e-12
124.000,3.12952e+06,-1.75311e+02,6.23112e-12
128.000,3.26671e+06,-1.78880e+02,2.52630e-11
132.000,3.38909e+06,1.77065e+02,-9.18566e-12
136.000,3.47747e+06,1.73385e+02,-3.97447e-12
140.000,3.55431e+06,1.70197e+02,-2.63069e-12
144.000,3.59879e+06,1.67066e+02,-1.97609e-12
148.000,3.61611e+06,1.63908e+02,-1.58922e-12
152.000,3.63403e+06,1.61158e+02,-1.35630e-12
156.000,3.66983e+06,1.58676e+02,-1.19289e-12
160.000,3.66973e+06,1.56042e+02,-1.06826e-12
164.000,3.69125e+06,1.54111e+02,-9.88034e-13
168.000,3.64321e+06,1.51730e+02,-9.22433e-13
172.000,3.63818e+06,1.49741e+02,-8.68202e-13
176.000,3.65071e+06,1.47864e+02,-8.19671e-13
180.000,3.63040e+06,1.46193e+02,-7.88039e-13
184.000,3.62404e+06,1.44551e+02,-7.57273e-13
188.000,3.58983e+06,1.43023e+02,-7.37164e-13
192.000,3.58759e+06,1.41650e+02,-7.15026e-13
196.000,3.58438e+06,1.40532e+02,-6.98614e-13
200.000,3.56211e+06,1.39751e+02,-6.91547e-13
