v(V),z(Ohms),phi(º),cs(Farads)
0.000,9.90000e+37,-1.35087e+02,1.57477e-44
2.000,9.90000e+37,-1.35115e+02,1.56943e-44
4.000,9.90000e+37,-1.35140e+02,1.56536e-44
6.000,9.90000e+37,-1.35161e+02,1.56186e-44
8.000,9.90000e+37,-1.35048e+02,1.55412e-44
10.000,9.90000e+37,-1.35062e+02,1.55089e-44
12.000,9.90000e+37,-1.35076e+02,1.54774e-44
14.000,9.90000e+37,-1.35089e+02,1.54446e-44
16.000,9.90000e+37,-1.35107e+02,1.54135e-44
18.000,9.90000e+37,-1.35123e+02,1.53815e-44
20.000,9.90000e+37,-1.35144e+02,1.53479e-44
22.000,9.90000e+37,-1.35167e+02,1.53128e-44
24.000,9.90000e+37,-1.35193e+02,1.52766e-44
26.000,9.90000e+37,-1.35224e+02,1.52368e-44
28.000,9.90000e+37,-1.35260e+02,1.51945e-44
30.000,9.90000e+37,-1.35311e+02,1.51483e-44
32.000,9.90000e+37,-1.35367e+02,1.50886e-44
