v(V),z(Ohms),phi(º),cs(Farads)
0.000,3.93308e+04,-9.47882e+01,4.06074e-11
2.500,3.90438e+04,-9.47653e+01,4.09046e-11
5.000,3.88915e+04,-9.47563e+01,4.10642e-11
7.500,3.88030e+04,-9.47517e+01,4.11576e-11
10.000,3.87501e+04,-9.47475e+01,4.12135e-11
12.500,3.87244e+04,-9.47470e+01,4.12409e-11
15.000,3.87062e+04,-9.47419e+01,4.12600e-11
17.500,3.86982e+04,-9.47468e+01,4.12688e-11
20.000,3.86912e+04,-9.47459e+01,4.12762e-11
22.500,3.88275e+04,-9.47531e+01,4.11317e-11
25.000,3.89374e+04,-9.47590e+01,4.10160e-11
27.500,3.90301e+04,-9.47708e+01,4.09193e-11
30.000,3.91047e+04,-9.47749e+01,4.08415e-11
32.500,3.91615e+04,-9.47794e+01,4.07825e-11
35.000,3.92187e+04,-9.47783e+01,4.07230e-11
37.500,3.92623e+04,-9.47815e+01,4.06779e-11
40.000,3.93092e+04,-9.47848e+01,4.06296e-11
42.500,3.93496e+04,-9.47838e+01,4.05879e-11
45.000,3.93812e+04,-9.47901e+01,4.05556e-11
47.500,3.94173e+04,-9.47909e+01,4.05185e-11
50.000,3.94463e+04,-9.47929e+01,4.04889e-11
