v(V),z(Ohms),phi(º),cs(Farads)
0.000,6.34858e+07,-9.62450e+01,2.55212e-14
2.000,5.56526e+07,-8.28139e+01,2.93767e-14
4.000,6.74554e+07,-8.70199e+01,2.43295e-14
6.000,6.38005e+07,-8.48762e+01,2.77785e-14
8.000,6.13456e+07,-7.71764e+01,2.74051e-14
10.000,7.98715e+07,-8.59634e+01,2.16273e-14
12.000,6.38983e+07,-8.91483e+01,2.50895e-14
14.000,1.09562e+08,-1.07578e+02,1.62997e-14
16.000,1.03278e+08,-9.65258e+01,1.70731e-14
18.000,9.59443e+07,-8.25571e+01,1.88025e-14
20.000,7.34009e+07,-8.33109e+01,2.25098e-14
22.000,5.81309e+07,-9.11138e+01,2.77741e-14
24.000,1.11888e+08,-8.85360e+01,1.52759e-14
26.000,6.73044e+07,-8.99065e+01,2.53833e-14
28.000,6.16765e+07,-9.30155e+01,2.77928e-14
30.000,8.61421e+07,-9.63800e+01,1.92471e-14
32.000,6.73884e+07,-9.46952e+01,2.52843e-14
34.000,1.07721e+08,-9.96655e+01,1.58207e-14
36.000,6.56626e+07,-8.02197e+01,2.51252e-14
38.000,6.44935e+07,-8.68793e+01,2.63208e-14
40.000,8.81803e+07,-9.76735e+01,1.99654e-14
42.000,6.17914e+07,-9.34493e+01,2.94331e-14
44.000,5.36270e+07,-8.81001e+01,3.06481e-14
46.000,7.41702e+07,-9.48038e+01,2.25128e-14
48.000,8.46337e+07,-9.97090e+01,2.04700e-14
50.000,5.84903e+07,-1.04494e+02,2.88284e-14
52.000,6.46236e+07,-9.76571e+01,2.60619e-14
54.000,7.15892e+07,-9.22806e+01,2.28038e-14
56.000,7.35145e+07,-8.77781e+01,2.56455e-14
58.000,7.80783e+07,-7.50096e+01,2.19999e-14
60.000,8.13133e+07,-7.70059e+01,2.12187e-14
62.000,6.90825e+07,-8.97477e+01,2.49546e-14
64.000,6.62729e+07,-8.68599e+01,2.71707e-14
66.000,8.37076e+07,-9.60728e+01,2.11253e-14
68.000,8.10132e+07,-9.17954e+01,2.03524e-14
70.000,6.73601e+07,-9.17671e+01,2.43864e-14
72.000,5.00669e+07,-9.91345e+01,3.32230e-14
74.000,6.33751e+07,-9.13259e+01,2.56217e-14
76.000,8.58143e+07,-8.87209e+01,1.94355e-14
78.000,8.70935e+07,-8.77272e+01,2.01201e-14
80.000,6.99696e+07,-8.87171e+01,2.48806e-14
82.000,7.51535e+07,-7.90425e+01,2.35872e-14
84.000,6.29769e+07,-8.77909e+01,2.55194e-14
86.000,6.70523e+07,-9.47208e+01,2.49055e-14
88.000,5.92615e+07,-1.02424e+02,2.82890e-14
90.000,6.85998e+07,-1.00553e+02,2.38509e-14
92.000,7.78276e+07,-1.01665e+02,2.42882e-14
94.000,8.22386e+07,-1.03351e+02,2.23390e-14
96.000,6.60828e+07,-9.45617e+01,2.42397e-14
98.000,8.57667e+07,-8.19820e+01,2.02444e-14
100.000,7.50957e+07,-9.04113e+01,2.40304e-14
102.000,5.63032e+07,-9.37317e+01,2.91395e-14
104.000,5.57071e+07,-8.95381e+01,2.99123e-14
106.000,7.91060e+07,-9.67663e+01,2.12829e-14
