v(V),z(Ohms),phi(º),cs(Farads)
0.000,4.94994e+04,-9.53481e+01,3.22935e-11
2.000,5.03843e+04,-9.53973e+01,3.17289e-11
4.000,5.54280e+04,-9.57050e+01,2.88568e-11
6.000,6.07704e+04,-9.60164e+01,2.63346e-11
8.000,6.67330e+04,-9.22003e+01,2.38671e-11
10.000,7.15824e+04,-9.24717e+01,2.22545e-11
12.000,7.63590e+04,-9.27277e+01,2.08666e-11
14.000,8.11466e+04,-9.29897e+01,1.96400e-11
16.000,8.60241e+04,-9.32560e+01,1.85311e-11
18.000,9.11016e+04,-9.35337e+01,1.75033e-11
20.000,9.65842e+04,-9.38364e+01,1.65154e-11
22.000,1.02278e+05,-9.41447e+01,1.56018e-11
24.000,1.08471e+05,-9.44902e+01,1.47177e-11
26.000,1.15452e+05,-9.48626e+01,1.38351e-11
28.000,1.23282e+05,-9.52957e+01,1.29651e-11
30.000,1.32774e+05,-9.58085e+01,1.20488e-11
32.000,1.44623e+05,-9.64350e+01,1.10746e-11
34.000,1.60583e+05,-9.72768e+01,9.99156e-12
36.000,1.83926e+05,-9.84933e+01,8.74915e-12
38.000,2.21115e+05,-1.00392e+02,7.31788e-12
40.000,2.87583e+05,-1.03547e+02,5.69261e-12
42.000,4.24679e+05,-1.09414e+02,3.97358e-12
44.000,6.74086e+05,-1.19185e+02,2.70438e-12
46.000,8.66553e+05,-1.26335e+02,2.27996e-12
48.000,9.29767e+05,-1.28496e+02,2.18715e-12
50.000,9.74913e+05,-1.29921e+02,2.12863e-12
52.000,1.02722e+06,-1.31509e+02,2.06903e-12
54.000,1.09109e+06,-1.33555e+02,2.01281e-12
56.000,1.18123e+06,-1.36158e+02,1.94520e-12
58.000,1.31377e+06,-1.39704e+02,1.87319e-12
60.000,1.54971e+06,-1.44716e+02,1.77805e-12
62.000,1.93370e+06,-1.51955e+02,1.75061e-12
64.000,2.30428e+06,-1.59041e+02,1.93132e-12
66.000,2.44183e+06,-1.61497e+02,2.05414e-12
68.000,2.46787e+06,-1.62426e+02,2.13595e-12
70.000,2.47611e+06,-1.62877e+02,2.18330e-12
72.000,2.49356e+06,-1.63472e+02,2.24429e-12
74.000,2.51465e+06,-1.63801e+02,2.26925e-12
76.000,2.52307e+06,-1.64419e+02,2.34853e-12
78.000,2.53804e+06,-1.65029e+02,2.42796e-12
80.000,2.55626e+06,-1.65640e+02,2.51042e-12
82.000,2.57163e+06,-1.66056e+02,2.56904e-12
84.000,2.58053e+06,-1.66675e+02,2.67718e-12
86.000,2.60907e+06,-1.67122e+02,2.73793e-12
88.000,2.62675e+06,-1.67718e+02,2.84929e-12
90.000,2.65319e+06,-1.68433e+02,2.99208e-12
92.000,2.67145e+06,-1.69309e+02,3.21203e-12
94.000,2.69575e+06,-1.69920e+02,3.37545e-12
96.000,2.71808e+06,-1.70657e+02,3.60714e-12
98.000,2.75925e+06,-1.71722e+02,4.00807e-12
100.000,2.78365e+06,-1.72459e+02,4.35699e-12
102.000,2.81325e+06,-1.73567e+02,5.05514e-12
104.000,2.86938e+06,-1.74568e+02,5.87723e-12
106.000,2.91613e+06,-1.76061e+02,7.98071e-12
108.000,2.95034e+06,-1.77534e+02,1.26538e-11
110.000,3.02250e+06,-1.78953e+02,2.89845e-11
112.000,3.06829e+06,1.79138e+02,-3.51803e-11
114.000,3.11684e+06,1.77590e+02,-1.22072e-11
116.000,3.18839e+06,1.75545e+02,-6.43727e-12
118.000,3.24643e+06,1.73588e+02,-4.39248e-12
120.000,3.30230e+06,1.71735e+02,-3.35927e-12
122.000,3.34376e+06,1.69777e+02,-2.68267e-12
124.000,3.37098e+06,1.68069e+02,-2.28559e-12
126.000,3.41694e+06,1.66499e+02,-1.99533e-12
128.000,3.43678e+06,1.64952e+02,-1.78388e-12
130.000,3.45368e+06,1.63649e+02,-1.63712e-12
132.000,3.48101e+06,1.62420e+02,-1.51400e-12
134.000,3.49067e+06,1.60894e+02,-1.39303e-12
136.000,3.48602e+06,1.59795e+02,-1.32201e-12
138.000,3.50975e+06,1.58769e+02,-1.25250e-12
140.000,3.52084e+06,1.57718e+02,-1.19226e-12
142.000,3.52975e+06,1.56574e+02,-1.13426e-12
144.000,3.53484e+06,1.55599e+02,-1.09009e-12
146.000,3.54425e+06,1.54490e+02,-1.04294e-12
148.000,3.55286e+06,1.53709e+02,-1.01146e-12
150.000,3.53811e+06,1.52898e+02,-9.87525e-13
152.000,3.56109e+06,1.51824e+02,-9.46539e-13
154.000,3.55085e+06,1.51108e+02,-9.27709e-13
156.000,3.53598e+06,1.50436e+02,-9.12296e-13
158.000,3.55247e+06,1.49583e+02,-8.84956e-13
160.000,3.54872e+06,1.48961e+02,-8.69889e-13
162.000,3.56045e+06,1.47937e+02,-8.42119e-13
164.000,3.52560e+06,1.47225e+02,-8.34156e-13
166.000,3.54799e+06,1.46785e+02,-8.18953e-13
168.000,3.53011e+06,1.45928e+02,-8.04838e-13
170.000,3.52450e+06,1.45297e+02,-7.93254e-13
172.000,3.52435e+06,1.44546e+02,-7.78660e-13
174.000,3.51692e+06,1.44026e+02,-7.70471e-13
176.000,3.51191e+06,1.43450e+02,-7.61055e-13
178.000,3.50805e+06,1.42723e+02,-7.49069e-13
180.000,3.50460e+06,1.42224e+02,-7.41448e-13
182.000,3.49740e+06,1.41835e+02,-7.36474e-13
184.000,3.47788e+06,1.41354e+02,-7.32780e-13
186.000,3.49535e+06,1.40712e+02,-7.19135e-13
188.000,3.47401e+06,1.39890e+02,-7.11175e-13
190.000,3.46175e+06,1.39806e+02,-7.12553e-13
192.000,3.46902e+06,1.39444e+02,-7.05665e-13
194.000,3.46944e+06,1.38619e+02,-6.93979e-13
196.000,3.45727e+06,1.38426e+02,-6.93845e-13
198.000,3.44830e+06,1.38019e+02,-6.90071e-13
200.000,3.45156e+06,1.37794e+02,-6.86421e-13
