v(V),z(Ohms),phi(º),cs(Farads)
202.000,3.44629e+06,1.37425e+02,-6.82660e-13
204.000,3.43728e+06,1.37266e+02,-6.82368e-13
206.000,3.45905e+06,1.37091e+02,-6.75858e-13
208.000,3.44039e+06,1.36623e+02,-6.73600e-13
210.000,3.43631e+06,1.36239e+02,-6.69718e-13
212.000,3.43415e+06,1.35969e+02,-6.66867e-13
214.000,3.43100e+06,1.35987e+02,-6.67634e-13
216.000,3.42762e+06,1.35668e+02,-6.64482e-13
218.000,3.41758e+06,1.35251e+02,-6.61516e-13
220.000,3.44236e+06,1.35020e+02,-6.54101e-13
222.000,3.42465e+06,1.34799e+02,-6.55052e-13
224.000,3.41348e+06,1.34457e+02,-6.53255e-13
226.000,3.42377e+06,1.34448e+02,-6.51224e-13
228.000,3.42171e+06,1.34187e+02,-6.48678e-13
230.000,3.42140e+06,1.34018e+02,-6.46891e-13
232.000,3.43356e+06,1.33827e+02,-6.42558e-13
234.000,3.42072e+06,1.33540e+02,-6.41925e-13
236.000,3.41873e+06,1.33638e+02,-6.43303e-13
238.000,3.41615e+06,1.33408e+02,-6.41325e-13
240.000,3.42876e+06,1.33121e+02,-6.35952e-13
242.000,3.40543e+06,1.33071e+02,-6.39809e-13
244.000,3.43204e+06,1.32716e+02,-6.31205e-13
246.000,3.42881e+06,1.32734e+02,-6.31976e-13
248.000,3.42273e+06,1.32572e+02,-6.31431e-13
250.000,3.41284e+06,1.32601e+02,-6.33566e-13
252.000,3.42704e+06,1.32517e+02,-6.30074e-13
254.000,3.42149e+06,1.32249e+02,-6.28438e-13
256.000,3.42038e+06,1.32390e+02,-6.30064e-13
258.000,3.42856e+06,1.32095e+02,-6.25631e-13
260.000,3.45513e+06,1.32123e+02,-6.21094e-13
262.000,3.45065e+06,1.32394e+02,-6.24569e-13
264.000,3.45020e+06,1.31992e+02,-6.20714e-13
266.000,3.45905e+06,1.31748e+02,-6.16726e-13
268.000,3.44757e+06,1.31497e+02,-6.16404e-13
270.000,3.44742e+06,1.31750e+02,-6.18868e-13
272.000,3.45786e+06,1.31693e+02,-6.16417e-13
274.000,3.46542e+06,1.31663e+02,-6.14803e-13
276.000,3.47468e+06,1.31503e+02,-6.11636e-13
278.000,3.47302e+06,1.31676e+02,-6.13545e-13
280.000,3.47871e+06,1.31247e+02,-6.08513e-13
282.000,3.48331e+06,1.31463e+02,-6.09754e-13
284.000,3.49601e+06,1.31402e+02,-6.06974e-13
286.000,3.49994e+06,1.31273e+02,-6.05103e-13
288.000,3.50092e+06,1.31403e+02,-6.06209e-13
290.000,3.49994e+06,1.31564e+02,-6.07774e-13
292.000,3.49917e+06,1.31129e+02,-6.03896e-13
294.000,3.53211e+06,1.31016e+02,-5.97234e-13
296.000,3.53226e+06,1.31186e+02,-5.98744e-13
298.000,3.52366e+06,1.31073e+02,-5.99159e-13
300.000,3.53187e+06,1.31102e+02,-5.98039e-13
302.000,3.53744e+06,1.30834e+02,-5.94660e-13
304.000,3.55274e+06,1.30833e+02,-5.92135e-13
306.000,3.55410e+06,1.30735e+02,-5.91009e-13
308.000,3.53996e+06,1.30887e+02,-5.94736e-13
310.000,3.56343e+06,1.31028e+02,-5.92065e-13
312.000,3.56257e+06,1.30752e+02,-5.89744e-13
314.000,3.56166e+06,1.30858e+02,-5.90831e-13
316.000,3.58284e+06,1.30670e+02,-5.85699e-13
318.000,3.59657e+06,1.30817e+02,-5.84741e-13
320.000,3.58748e+06,1.30726e+02,-5.85411e-13
322.000,3.60509e+06,1.30944e+02,-5.84518e-13
324.000,3.59920e+06,1.31092e+02,-5.86782e-13
326.000,3.63088e+06,1.31168e+02,-5.82301e-13
328.000,3.64805e+06,1.31356e+02,-5.81255e-13
330.000,3.64774e+06,1.31351e+02,-5.81274e-13
332.000,3.66046e+06,1.31323e+02,-5.78968e-13
334.000,3.68948e+06,1.31734e+02,-5.78112e-13
336.000,3.70619e+06,1.31766e+02,-5.75754e-13
338.000,3.74517e+06,1.31987e+02,-5.71760e-13
340.000,3.74003e+06,1.32025e+02,-5.72881e-13
342.000,3.75964e+06,1.31869e+02,-5.68497e-13
344.000,3.77490e+06,1.32282e+02,-5.69920e-13
346.000,3.77011e+06,1.32304e+02,-5.70815e-13
348.000,3.81443e+06,1.32501e+02,-5.65987e-13
350.000,3.80524e+06,1.32706e+02,-5.69186e-13
352.000,3.82382e+06,1.32573e+02,-5.65239e-13
354.000,3.83219e+06,1.33004e+02,-5.67922e-13
356.000,3.87793e+06,1.32870e+02,-5.60044e-13
358.000,3.88900e+06,1.33105e+02,-5.60660e-13
360.000,3.92052e+06,1.33264e+02,-5.57488e-13
362.000,3.92757e+06,1.33545e+02,-5.59101e-13
364.000,3.95146e+06,1.33722e+02,-5.57355e-13
366.000,3.97297e+06,1.33853e+02,-5.55572e-13
368.000,3.98155e+06,1.33993e+02,-5.55647e-13
370.000,4.02459e+06,1.34274e+02,-5.52348e-13
372.000,4.02537e+06,1.34508e+02,-5.54425e-13
374.000,4.05840e+06,1.34692e+02,-5.51728e-13
376.000,4.09786e+06,1.35065e+02,-5.49959e-13
378.000,4.13024e+06,1.35386e+02,-5.48711e-13
380.000,4.17497e+06,1.35779e+02,-5.46610e-13
382.000,4.19765e+06,1.36050e+02,-5.46335e-13
384.000,4.26436e+06,1.37109e+02,-5.48422e-13
386.000,4.29816e+06,1.37690e+02,-5.50153e-13
388.000,4.36055e+06,1.38144e+02,-5.47028e-13
390.000,4.44806e+06,1.39375e+02,-5.49572e-13
392.000,4.49483e+06,1.40443e+02,-5.56056e-13
394.000,4.59596e+06,1.40878e+02,-5.48867e-13
396.000,4.70413e+06,1.42116e+02,-5.51016e-13
398.000,4.80307e+06,1.44020e+02,-5.64100e-13
400.000,4.91215e+06,1.45722e+02,-5.75340e-13
402.000,5.03297e+06,1.46976e+02,-5.80319e-13
404.000,5.16162e+06,1.49485e+02,-6.07362e-13
406.000,5.31456e+06,1.51352e+02,-6.24742e-13
408.000,5.43171e+06,1.53988e+02,-6.68209e-13
410.000,5.59821e+06,1.56058e+02,-7.00740e-13
412.000,5.69318e+06,1.58103e+02,-7.49772e-13
414.000,5.75152e+06,1.60433e+02,-8.26450e-13
416.000,5.91231e+06,1.61845e+02,-8.64683e-13
418.000,5.97532e+06,1.63673e+02,-9.47666e-13
420.000,5.99221e+06,1.65213e+02,-1.04258e-12
422.000,6.08078e+06,1.66014e+02,-1.08334e-12
424.000,6.12396e+06,1.67317e+02,-1.18680e-12
426.000,6.18725e+06,1.68347e+02,-1.27445e-12
428.000,6.22441e+06,1.68993e+02,-1.34145e-12
430.000,6.27252e+06,1.69833e+02,-1.43872e-12
432.000,6.31777e+06,1.71097e+02,-1.63197e-12
434.000,6.31100e+06,1.71009e+02,-1.62025e-12
436.000,6.33126e+06,1.72601e+02,-1.95347e-12
438.000,6.41508e+06,1.72669e+02,-1.96142e-12
440.000,6.46345e+06,1.73389e+02,-2.14324e-12
442.000,6.45471e+06,1.73305e+02,-2.12190e-12
444.000,6.53437e+06,1.74168e+02,-2.40381e-12
446.000,6.53046e+06,1.75312e+02,-3.01325e-12
448.000,6.55661e+06,1.75002e+02,-2.83014e-12
450.000,6.59771e+06,1.76122e+02,-3.66956e-12
452.000,6.64322e+06,1.76309e+02,-3.87217e-12
454.000,6.65900e+06,1.76410e+02,-3.83794e-12
456.000,6.64057e+06,1.76596e+02,-4.05283e-12
458.000,6.66297e+06,1.77422e+02,-5.31870e-12
460.000,6.67467e+06,1.77688e+02,-5.99458e-12
462.000,6.73098e+06,1.78074e+02,-8.02708e-12
464.000,6.73937e+06,1.78129e+02,-8.09338e-12
466.000,6.75956e+06,1.78244e+02,-9.27330e-12
468.000,6.75123e+06,1.79098e+02,-2.22182e-11
470.000,6.79105e+06,5.96643e+01,2.26157e-11
472.000,6.81208e+06,-5.99593e+01,5.60042e-10
474.000,6.78860e+06,1.79485e+02,-4.33713e-11
476.000,6.75439e+06,-5.98208e+01,7.76639e-12
478.000,6.86704e+06,-5.97914e+01,4.22426e-11
480.000,6.85700e+06,-5.95816e+01,-3.26193e-10
482.000,6.90931e+06,-1.79478e+02,2.59532e-11
484.000,6.87431e+06,-1.79173e+02,1.63040e-11
486.000,6.90793e+06,-1.78807e+02,1.28694e-11
488.000,6.87690e+06,-1.78716e+02,1.13605e-11
490.000,6.90282e+06,-1.78480e+02,9.36758e-12
492.000,6.92439e+06,-1.78309e+02,8.26415e-12
494.000,6.88176e+06,-1.78530e+02,9.84903e-12
496.000,6.87471e+06,-1.78038e+02,7.04090e-12
498.000,6.96268e+06,-1.77863e+02,6.50700e-12
500.000,6.95680e+06,-1.77955e+02,6.58189e-12
502.000,6.94940e+06,-1.78136e+02,7.08015e-12
504.000,6.93640e+06,-1.77648e+02,5.65442e-12
506.000,6.92014e+06,-1.77582e+02,5.69730e-12
508.000,7.00888e+06,-1.77370e+02,5.14385e-12
510.000,7.05001e+06,-1.77453e+02,5.24451e-12
512.000,7.00276e+06,-1.76853e+02,4.18169e-12
514.000,7.00739e+06,-1.76826e+02,4.23390e-12
516.000,6.97045e+06,-1.77239e+02,4.86068e-12
518.000,7.05633e+06,-1.77150e+02,4.67998e-12
520.000,6.96508e+06,-1.77231e+02,4.79506e-12
522.000,7.00584e+06,-1.76911e+02,4.35635e-12
524.000,7.01067e+06,-1.76828e+02,4.17446e-12
526.000,6.99978e+06,-1.76761e+02,4.06658e-12
528.000,7.01627e+06,-1.76825e+02,4.38206e-12
530.000,7.01856e+06,-1.76651e+02,3.95569e-12
532.000,7.03790e+06,-1.77035e+02,4.56099e-12
534.000,7.04784e+06,-1.76779e+02,4.34845e-12
536.000,7.06758e+06,-1.76625e+02,3.94410e-12
538.000,7.03981e+06,-1.76678e+02,3.90726e-12
540.000,7.02856e+06,-1.76795e+02,4.31782e-12
542.000,7.04969e+06,-1.76535e+02,3.75169e-12
544.000,7.09222e+06,-1.77471e+02,5.62487e-12
546.000,7.00712e+06,-1.76932e+02,4.39544e-12
548.000,7.06818e+06,-1.77117e+02,4.59113e-12
550.000,7.08570e+06,-1.77837e+02,6.02576e-12
552.000,7.06092e+06,-1.76946e+02,4.39428e-12
554.000,7.10255e+06,-1.77724e+02,5.81492e-12
556.000,7.08165e+06,-1.77699e+02,5.84404e-12
558.000,7.04174e+06,-1.77599e+02,5.60166e-12
560.000,7.03938e+06,-1.77623e+02,6.40182e-12
562.000,7.12586e+06,-1.77996e+02,6.53896e-12
564.000,6.99286e+06,-1.77800e+02,5.93287e-12
566.000,7.01497e+06,-1.78505e+02,8.89138e-12
568.000,7.04515e+06,-1.78300e+02,9.62809e-12
570.000,7.00317e+06,-1.78625e+02,9.94999e-12
572.000,7.04899e+06,-1.78818e+02,1.12712e-11
574.000,7.05123e+06,-1.78498e+02,2.59459e-11
576.000,6.95830e+06,-5.97600e+01,-2.25144e-11
578.000,7.02685e+06,5.98835e+01,-1.05506e-11
580.000,7.00606e+06,6.02313e+01,-2.15691e-11
582.000,7.00469e+06,5.96270e+01,3.44033e-10
584.000,7.02898e+06,5.95995e+01,-3.81018e-12
586.000,6.99156e+06,1.78944e+02,-1.71969e-11
588.000,6.95709e+06,1.78784e+02,-2.03613e-10
590.000,6.95507e+06,1.78748e+02,-1.05359e-11
592.000,6.90731e+06,1.78212e+02,-7.42460e-12
594.000,6.95569e+06,1.78391e+02,-1.01217e-11
596.000,7.00899e+06,1.77885e+02,-6.27404e-12
598.000,6.98815e+06,1.77566e+02,-5.40670e-12
600.000,6.96317e+06,1.77538e+02,-5.40240e-12
