v(V),z(Ohms),phi(º),cs(Farads)
0.000,4.02281e+04,-9.48454e+01,3.97051e-11
2.500,4.62783e+04,-9.52202e+01,3.45341e-11
5.000,5.27410e+04,-9.56251e+01,3.03228e-11
7.500,5.85350e+04,-9.59764e+01,2.73383e-11
10.000,6.47673e+04,-9.21373e+01,2.45905e-11
12.500,6.99224e+04,-9.24317e+01,2.27822e-11
15.000,7.49091e+04,-9.27174e+01,2.12703e-11
17.500,7.98968e+04,-9.29961e+01,1.99473e-11
20.000,8.51315e+04,-9.32919e+01,1.87261e-11
22.500,9.05114e+04,-9.35948e+01,1.76186e-11
25.000,9.63323e+04,-9.39135e+01,1.65601e-11
27.500,1.02469e+05,-9.42505e+01,1.55749e-11
30.000,1.09145e+05,-9.46235e+01,1.46296e-11
32.500,1.16898e+05,-9.50488e+01,1.36679e-11
35.000,1.25947e+05,-9.55472e+01,1.26961e-11
37.500,1.37510e+05,-9.61950e+01,1.16420e-11
40.000,1.52976e+05,-9.70572e+01,1.04833e-11
42.500,1.75454e+05,-9.82577e+01,9.16608e-12
45.000,2.10663e+05,-1.00122e+02,7.67439e-12
47.500,2.70985e+05,-1.03158e+02,6.03155e-12
50.000,3.77827e+05,-1.08209e+02,4.43445e-12
