v(V),z(Ohms),phi(º),cs(Farads)
0.000,6.49433e+03,-9.20466e+01,2.45224e-10
0.500,6.49437e+03,-9.20468e+01,2.45223e-10
1.000,6.49435e+03,-9.20469e+01,2.45223e-10
1.500,6.49437e+03,-9.20467e+01,2.45223e-10
2.000,6.49436e+03,-9.20470e+01,2.45223e-10
2.500,6.49434e+03,-9.20467e+01,2.45224e-10
3.000,6.49435e+03,-9.20465e+01,2.45223e-10
3.500,6.49435e+03,-9.20465e+01,2.45223e-10
4.000,6.49431e+03,-9.20471e+01,2.45225e-10
4.500,6.49434e+03,-9.20473e+01,2.45224e-10
5.000,6.49432e+03,-9.20469e+01,2.45225e-10
