v(V),z(Ohms),phi(º),cs(Farads)
0.000,3.88965e+04,-9.47471e+01,4.10584e-11
2.000,4.70639e+04,-9.52514e+01,3.39594e-11
4.000,5.32314e+04,-9.56315e+01,3.00437e-11
6.000,5.83290e+04,-9.59447e+01,2.74333e-11
8.000,6.37434e+04,-9.20633e+01,2.49843e-11
10.000,6.80587e+04,-9.23137e+01,2.34040e-11
12.000,7.22203e+04,-9.25536e+01,2.20593e-11
14.000,7.62933e+04,-9.27855e+01,2.08856e-11
16.000,8.04113e+04,-9.30282e+01,1.98203e-11
18.000,8.46209e+04,-9.32554e+01,1.88384e-11
20.000,8.89620e+04,-9.34993e+01,1.79237e-11
22.000,9.35527e+04,-9.37508e+01,1.70489e-11
24.000,9.84192e+04,-9.40138e+01,1.62109e-11
26.000,1.03757e+05,-9.43114e+01,1.53828e-11
28.000,1.09497e+05,-9.46288e+01,1.45826e-11
30.000,1.16030e+05,-9.49800e+01,1.37687e-11
32.000,1.23557e+05,-9.54064e+01,1.29387e-11
34.000,1.32652e+05,-9.59035e+01,1.20619e-11
36.000,1.44240e+05,-9.65343e+01,1.11062e-11
38.000,1.59850e+05,-9.73785e+01,1.00397e-11
40.000,1.82392e+05,-9.85631e+01,8.82436e-12
42.000,2.17070e+05,-1.00375e+02,7.45383e-12
44.000,2.74656e+05,-1.03189e+02,5.95169e-12
46.000,3.73522e+05,-1.07759e+02,4.47412e-12
48.000,5.59422e+05,-1.15554e+02,3.15348e-12
50.000,7.83725e+05,-1.24103e+02,2.45250e-12
52.000,8.86694e+05,-1.27659e+02,2.26729e-12
54.000,9.32444e+05,-1.29120e+02,2.20005e-12
56.000,9.74447e+05,-1.30406e+02,2.14490e-12
58.000,1.02459e+06,-1.31988e+02,2.08986e-12
60.000,1.08471e+06,-1.33936e+02,2.03754e-12
62.000,1.17108e+06,-1.36463e+02,1.97304e-12
64.000,1.28733e+06,-1.39578e+02,1.90669e-12
66.000,1.46479e+06,-1.43653e+02,1.83330e-12
68.000,1.76771e+06,-1.49552e+02,1.77675e-12
70.000,2.15696e+06,-1.55799e+02,1.80007e-12
72.000,2.36314e+06,-1.59182e+02,1.89539e-12
74.000,2.40339e+06,-1.59745e+02,1.91298e-12
76.000,2.43155e+06,-1.60311e+02,1.94293e-12
78.000,2.45263e+06,-1.60643e+02,1.95811e-12
80.000,2.46003e+06,-1.61188e+02,2.00634e-12
82.000,2.48803e+06,-1.61714e+02,2.03919e-12
84.000,2.50443e+06,-1.62178e+02,2.07736e-12
86.000,2.52855e+06,-1.62552e+02,2.09965e-12
88.000,2.54864e+06,-1.62908e+02,2.12482e-12
90.000,2.56472e+06,-1.63645e+02,2.20424e-12
92.000,2.58557e+06,-1.64135e+02,2.25218e-12
94.000,2.61252e+06,-1.64733e+02,2.31383e-12
96.000,2.62894e+06,-1.65143e+02,2.36117e-12
98.000,2.64615e+06,-1.65910e+02,2.47094e-12
