v(V),z(Ohms),phi(º),cs(Farads)
0.000,3.96998e+04,-9.48063e+01,4.02311e-11
2.500,3.92866e+04,-9.47851e+01,4.06530e-11
5.000,3.90633e+04,-9.47685e+01,4.08843e-11
7.500,3.89296e+04,-9.47613e+01,4.10244e-11
10.000,3.88419e+04,-9.47564e+01,4.11167e-11
12.500,3.87947e+04,-9.47497e+01,4.11663e-11
15.000,3.87655e+04,-9.47463e+01,4.11971e-11
17.500,3.87462e+04,-9.47464e+01,4.12177e-11
20.000,3.87354e+04,-9.47486e+01,4.12292e-11
22.500,3.88779e+04,-9.47541e+01,4.10785e-11
25.000,3.89916e+04,-9.47638e+01,4.09593e-11
27.500,3.90733e+04,-9.47674e+01,4.08738e-11
30.000,3.91407e+04,-9.47759e+01,4.08040e-11
32.500,3.92053e+04,-9.47742e+01,4.07366e-11
35.000,3.92594e+04,-9.47778e+01,4.06807e-11
37.500,3.93106e+04,-9.47829e+01,4.06280e-11
40.000,3.93559e+04,-9.47811e+01,4.05811e-11
42.500,3.93936e+04,-9.47883e+01,4.05427e-11
45.000,3.94287e+04,-9.47905e+01,4.05067e-11
47.500,3.94584e+04,-9.47981e+01,4.04767e-11
50.000,3.94880e+04,-9.47910e+01,4.04460e-11
