v(V),z(Ohms),phi(º),cs(Farads)
0.000,8.20955e+07,-8.38049e+01,2.12714e-14
2.000,5.73369e+07,-1.01763e+02,2.93441e-14
4.000,8.53876e+07,-9.07207e+01,1.90971e-14
6.000,6.13904e+07,-8.04323e+01,2.70202e-14
8.000,5.95628e+07,-9.07471e+01,2.71897e-14
10.000,8.25241e+07,-9.82508e+01,2.04874e-14
12.000,6.41294e+07,-8.08363e+01,2.60698e-14
14.000,9.83098e+07,-9.68101e+01,1.86832e-14
16.000,6.13876e+07,-8.50908e+01,2.77316e-14
18.000,7.42672e+07,-9.95555e+01,2.18434e-14
20.000,6.67500e+07,-9.80004e+01,2.42987e-14
22.000,8.74047e+07,-9.56079e+01,1.85309e-14
24.000,7.37617e+07,-8.85022e+01,2.21273e-14
26.000,8.25172e+07,-1.04352e+02,2.20072e-14
28.000,6.33047e+07,-9.10447e+01,2.54565e-14
30.000,7.52414e+07,-1.05909e+02,2.37024e-14
32.000,6.61703e+07,-7.65522e+01,2.55848e-14
34.000,6.51274e+07,-7.88439e+01,2.64318e-14
36.000,6.98171e+07,-8.97433e+01,2.40001e-14
38.000,7.80275e+07,-9.95297e+01,2.25751e-14
40.000,8.21791e+07,-1.14505e+02,2.40272e-14
42.000,5.41160e+07,-9.75166e+01,3.48275e-14
44.000,7.66435e+07,-9.60796e+01,2.25188e-14
46.000,6.83480e+07,-8.87394e+01,2.35057e-14
48.000,7.34116e+07,-9.57188e+01,2.40013e-14
50.000,6.81062e+07,-9.38530e+01,2.61719e-14
52.000,9.00511e+07,-8.20816e+01,1.86752e-14
54.000,7.75923e+07,-9.62855e+01,2.24665e-14
56.000,9.15043e+07,-7.24668e+01,1.88986e-14
58.000,8.78956e+07,-7.86628e+01,2.17920e-14
60.000,7.01072e+07,-7.97149e+01,2.43298e-14
62.000,8.25070e+07,-7.50767e+01,2.10573e-14
64.000,8.53244e+07,-9.33630e+01,1.99202e-14
66.000,7.51430e+07,-7.81469e+01,2.22535e-14
68.000,6.88993e+07,-9.93536e+01,2.66068e-14
70.000,7.52443e+07,-7.78600e+01,2.25558e-14
72.000,8.93832e+07,-7.22282e+01,2.13625e-14
74.000,6.53468e+07,-9.00485e+01,2.62802e-14
76.000,8.48057e+07,-7.53068e+01,1.96018e-14
78.000,8.47464e+07,-1.03598e+02,2.05888e-14
80.000,6.86750e+07,-9.09859e+01,2.43519e-14
82.000,6.60453e+07,-8.65573e+01,2.43622e-14
84.000,7.02470e+07,-7.80525e+01,2.46229e-14
86.000,7.41766e+07,-9.24972e+01,2.24455e-14
88.000,1.16131e+08,-9.25781e+01,1.51040e-14
90.000,9.35444e+07,-1.02471e+02,1.79732e-14
92.000,6.83706e+07,-7.80514e+01,2.50330e-14
94.000,8.22227e+07,-8.82014e+01,2.18916e-14
96.000,6.59296e+07,-7.63162e+01,2.52096e-14
98.000,7.62599e+07,-1.02308e+02,2.23778e-14
100.000,6.21167e+07,-9.11928e+01,2.70312e-14
102.000,6.83897e+07,-8.13513e+01,2.42313e-14
104.000,9.28847e+07,-8.11262e+01,1.97622e-14
106.000,7.68906e+07,-9.43904e+01,2.30851e-14
108.000,6.58558e+07,-7.64689e+01,2.53487e-14
110.000,8.45271e+07,-8.66905e+01,2.20738e-14
112.000,5.88993e+07,-9.58519e+01,2.74808e-14
114.000,4.95075e+07,-8.96634e+01,3.26760e-14
116.000,7.23507e+07,-1.04370e+02,2.46480e-14
118.000,5.70715e+07,-9.19743e+01,2.80672e-14
120.000,5.65521e+07,-8.07501e+01,2.97572e-14
122.000,5.79432e+07,-7.70445e+01,2.92563e-14
124.000,5.53965e+07,-1.01553e+02,3.03363e-14
126.000,6.17771e+07,-8.79617e+01,2.61303e-14
128.000,7.72330e+07,-9.34425e+01,2.32314e-14
130.000,5.55447e+07,-8.61647e+01,2.97276e-14
132.000,6.91141e+07,-9.01318e+01,2.40087e-14
134.000,7.43464e+07,-9.33831e+01,2.32233e-14
136.000,7.88778e+07,-8.80944e+01,2.10826e-14
138.000,6.59655e+07,-9.02058e+01,2.57580e-14
140.000,5.96335e+07,-9.78519e+01,2.74618e-14
142.000,7.23307e+07,-9.74797e+01,2.31021e-14
144.000,6.65588e+07,-9.79757e+01,2.53462e-14
146.000,7.46495e+07,-9.34307e+01,2.23163e-14
148.000,7.17743e+07,-9.14015e+01,2.34070e-14
150.000,7.04790e+07,-8.98800e+01,2.59971e-14
152.000,7.01627e+07,-9.10231e+01,2.52413e-14
154.000,8.20950e+07,-8.59612e+01,2.29714e-14
156.000,6.82112e+07,-8.34091e+01,2.38760e-14
158.000,6.35542e+07,-7.27524e+01,2.69470e-14
160.000,6.86879e+07,-8.40070e+01,2.47553e-14
162.000,7.50103e+07,-9.97245e+01,2.20874e-14
164.000,7.02251e+07,-8.81139e+01,2.43480e-14
166.000,7.17236e+07,-1.07378e+02,2.34405e-14
168.000,5.87348e+07,-8.60277e+01,2.89468e-14
170.000,7.20829e+07,-8.60563e+01,2.28215e-14
172.000,9.36341e+07,-8.68168e+01,1.97290e-14
174.000,8.56771e+07,-9.24934e+01,2.31690e-14
176.000,7.21330e+07,-1.01255e+02,2.50411e-14
178.000,6.29685e+07,-9.66927e+01,2.70339e-14
180.000,5.25835e+07,-9.37216e+01,3.07636e-14
182.000,8.17453e+07,-9.19227e+01,2.53376e-14
184.000,7.46745e+07,-9.68661e+01,2.23390e-14
186.000,6.59093e+07,-9.54084e+01,2.51071e-14
188.000,7.48852e+07,-8.16851e+01,2.19880e-14
190.000,6.51359e+07,-1.13974e+02,2.70179e-14
192.000,5.93487e+07,-9.57337e+01,2.76183e-14
194.000,6.62291e+07,-9.47869e+01,2.53807e-14
196.000,7.00821e+07,-9.65260e+01,2.44217e-14
198.000,6.60699e+07,-1.02533e+02,2.59783e-14
200.000,6.60301e+07,-9.96166e+01,2.49407e-14
